ADM0_PCODE,ADM0_EN,ADM1_PCODE,ADM1_EN,ADM2_PCODE,ADM2_EN,p2009,p2010est,p2011est,p2012est,p2013est,p2014est,p2015est,p2016est,p2017est,p2018est,p2019est
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,243750,250478,257368,264423,271620,278984,286516,294252,302197,310355,318703
MG,Madagascar,MG11,Analamanga,MG11101002A,2e Arrondissement,187752,192934,198241,203675,209219,214892,220693,226652,232771,239056,245486
MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,131203,134824,138533,142330,146204,150168,154223,158387,162663,167055,171548
MG,Madagascar,MG11,Analamanga,MG11101004A,4e Arrondissement,250137,257041,264111,271351,278737,286294,294024,301962,310115,318488,327055
MG,Madagascar,MG11,Analamanga,MG11101005A,5e Arrondissement,306581,315043,323709,332582,341635,350897,360371,370101,380093,390355,400855
MG,Madagascar,MG11,Analamanga,MG11101006A,6e Arrondissement,127602,131124,134731,138424,142192,146047,149990,154040,158198,162470,166840
MG,Madagascar,MG11,Analamanga,MG11102,Antananarivo Avaradrano,348012,357617,367454,377527,387803,398317,409071,420116,431458,443107,455026
MG,Madagascar,MG11,Analamanga,MG11103,Ambohidratrimo,383047,393619,404447,415533,426844,438417,450253,462410,474894,487716,500835
MG,Madagascar,MG11,Analamanga,MG11104,Ankazobe,145471,149486,153598,157808,162104,166499,170994,175611,180352,185221,190203
MG,Madagascar,MG11,Analamanga,MG11106,Manjakandriana,195972,201381,206920,212593,218379,224300,230356,236575,242962,249522,256234
MG,Madagascar,MG11,Analamanga,MG11107,Anjozorobe,170036,174729,179535,184457,189478,194615,199869,205265,210807,216499,222322
MG,Madagascar,MG11,Analamanga,MG11115,Andramasina,163307,167814,172430,177157,181979,186913,191960,197142,202465,207931,213524
MG,Madagascar,MG11,Analamanga,MG11117,Antananarivo Atsimondrano,561735,577239,593117,609376,625963,642934,660293,678120,696428,715231,734470
MG,Madagascar,MG12,Vakinankaratra,MG12108,Antsirabe I,228922,235240,241711,248337,255096,262013,269087,276352,283813,291476,299316
MG,Madagascar,MG12,Vakinankaratra,MG12109,Betafo,244528,251277,258189,265267,272487,279875,287431,295191,303161,311346,319721
MG,Madagascar,MG12,Vakinankaratra,MG12110,Ambatolampy,245899,252686,259637,266754,274015,281444,289042,296846,304861,313092,321514
MG,Madagascar,MG12,Vakinankaratra,MG12114,Antanifotsy,295604,303763,312118,320674,329403,338334,347468,356850,366484,376379,386503
MG,Madagascar,MG12,Vakinankaratra,MG12116,Faratsiho,185555,190676,195921,201292,206771,212377,218111,224000,230047,236258,242613
MG,Madagascar,MG12,Vakinankaratra,MG12118,Antsirabe II,390070,400836,411862,423152,434670,446455,458509,470888,483601,496658,510018
MG,Madagascar,MG12,Vakinankaratra,MG12120,Mandoto,140469,144346,148317,152382,156530,160774,165115,169572,174151,178853,183664
MG,Madagascar,MG13,Itasy,MG13105,Arivonimamo,292712,300791,309065,317537,326180,335024,344069,353358,362899,372696,382721
MG,Madagascar,MG13,Itasy,MG13112,Miarinarivo,231042,237419,243950,250637,257459,264439,271579,278911,286441,294175,302088
MG,Madagascar,MG13,Itasy,MG13113,Soavinandriana,179715,184675,189755,194957,200263,205693,211246,216950,222807,228823,234978
MG,Madagascar,MG14,Bongolava,MG14111,Tsiroanomandidy,313825,322487,331357,340441,349707,359189,368886,378846,389074,399579,410327
MG,Madagascar,MG14,Bongolava,MG14119,Fenoarivobe,125216,128672,132211,135836,139533,143316,147185,151159,155240,159432,163720
MG,Madagascar,MG21,Haute Matsiatra,MG21201,Fianarantsoa I,182692,187734,192898,198186,203581,209100,214746,220544,226498,232613,238870
MG,Madagascar,MG21,Haute Matsiatra,MG21205,Ambalavao,201025,206573,212256,218074,224010,230083,236295,242675,249227,255956,262841
MG,Madagascar,MG21,Haute Matsiatra,MG21208,Ambohimahasoa,206100,211788,217614,223579,229665,235892,242261,248801,255519,262417,269476
MG,Madagascar,MG21,Haute Matsiatra,MG21219,Ikalamavony,85793,88161,90586,93069,95602,98194,100846,103568,106364,109236,112174
MG,Madagascar,MG21,Haute Matsiatra,MG21220,Lalangina,162773,167266,171867,176578,181384,186302,191332,196498,201803,207251,212826
